name,price_rate,room_and_property_type,latitude,longitude,person_capacity,review_count,satisfaction_guest
NEW! 'Bear Paw Inn' with Hot Tub and Pool Table!,119,Entire cabin,35.73209,-83.4925,4,17,4.76
"Hugs N Kisses: Pool Table, Hot Tub, Pool Table, Community Pool, Close to Downtown Gatlinburg!",120,Entire home,35.7379,-83.477,4,40,4.73
"Pet Friendly, Studio Cabin w/ Hot Tub!",121,Entire cabin,35.73048,-83.45899,3,146,4.82
Secluded Forest Cabin - 4 Mi to Dwntwn Gatlinburg!,121,Entire cabin,35.74621,-83.47776,4,42,4.79
"♥ ♥ Relaxing Mountain Getaway | Hot Tub, Wifi ♥ ♥",122,Entire cabin,35.734818,-83.495293,6,43,5
Honeysuckle Hideaway - Most Romantic cabin on MTN,122,Entire cabin,35.76357,-83.47527,2,63,4.79
MOUNTAINTOP ROMANCE Cutest Log Cabin on the Mtn,122,Entire cabin,35.76187,-83.47595,2,6,5
"🐻Location! Cute Studio Log Cabin,Hot Tub,Fireplace",124,Entire cabin,35.773643,-83.541229,2,40,5
♥ Romantic+Nestled in the Woods ♥  Hot Tub ♥Wifi ♥,125,Entire cabin,35.75303,-83.49367,6,190,4.9
Stunning Views Of Mt. LeConte/Hot Tub/3.6 Miles 2 Downtown Gatlinburg,125,Entire cabin,35.74473,-83.47879,6,290,4.86
"⛰ Amazing Views! Hot Tub,Pool Table,Fireplace,Relax!",125,Entire cabin,35.743912,-83.500877,2,145,4.95
"Charming cabin w/ king bed, wifi, hot tub, arcades",125,Entire cabin,35.77226,-83.44028,5,43,4.98
"❤️‍🔥Location! Cute Studio Log Cabin,Hot Tub,Fireplace",125,Entire cabin,35.773647,-83.541206,2,56,4.96
"⛰Great View, Location, Studio Log Cabin, Hot Tub❤️",126,Entire cabin,35.738178,-83.434952,2,33,4.88
"🐻Great View, Location, Studio Log Cabin, Hot Tub⛰",126,Entire cabin,35.738178,-83.434952,2,43,4.98
"New! Secluded < 5Mi to GSMNP! Fast Wifi, Hot Tub!",127,Entire cabin,35.71506,-83.54409,8,51,4.96
Cozy Bear Cabin - Great Location & Hot Tub!,127,Entire cabin,35.75725,-83.49177,6,72,4.82
❤️ Cute Studio Cabin! Views! Private. Hot Tub. Relax!,128,Entire cabin,35.761517,-83.474007,2,185,4.83
"Back to Nature, 2 Bedroom, Fireplace, Hot Tub, WiFi, Pet Friendly, Sleeps 6",129,Entire cabin,35.70976,-83.49589,6,10,4.7
Secluded & Private Smoky Mtn-View Cabin w/Fire Pit,131,Entire cabin,35.76145,-83.49095,4,132,4.53
"Spacious LOG Cabin, Pool , 5 min to Town ,Pets ok",131,Entire cabin,35.73016,-83.45924,4,257,4.82
Postcard View of GSMNP/3.6 Miles 2 DwTn Gatlinburg,132,Entire cabin,35.74357,-83.4794,8,162,4.93
Amazing Views GSMNP/3.5 Miles 2 DwTn Gat/Hot Tub,132,Entire cabin,35.74444,-83.4792,4,368,4.88
Modern Cabin 3 miles Downtown Gatlinburg w Hot Tub,132,Entire cabin,35.72982,-83.46011,2,164,4.96
Sensational Views GSMNP/Near DwTn Gatlinburg,133,Entire cabin,35.74173,-83.48672,2,352,4.94
"Honeymoon/Anniversary Cabin! Hottub, Jacuzzi, Wifi",134,Entire cabin,35.75753,-83.47324,4,93,4.94
Little Cabin All To Yourself,135,Entire cabin,35.764671,-83.489326,6,385,4.88
"GsM - Honeymoon ""I DO"" Cabin , PriVaTE , HotTub",135,Entire cabin,35.76078,-83.4745,4,299,4.87
Smoky Mountain Dreams,136,Entire cabin,35.7536,-83.4864,6,281,4.89
Gatlinburg Mountainside Escape w/ Outdoor Hot Tub!,137,Entire cabin,35.71126,-83.50122,4,42,4.83
Rustic Cabin,137,Entire cabin,35.75537,-83.47544,6,339,4.91
Near Downtown Gatlinburg/Creek Access/Renovated,137,Entire cabin,35.7593,-83.53614,4,94,4.91
Cozy & romantic getaway oasis. Secluded bliss.,138,Entire cabin,35.75906,-83.47573,6,400,4.93
Log Cabin w/ Pool Table & Hot Tub in Gatlinburg!,139,Entire cabin,35.75062,-83.47745,2,59,4.92
"RiseShine-Close to ISLAND, Ripken & Pigeon Snow!",139,Entire cabin,35.76224,-83.61912,6,209,4.89
LUXURY AND AFFORDABLE MEMORIAL DAY GETAWAY,140,Entire rental unit,35.7323,-83.51994,4,0,
Private Cabin Close to Everything! HotTub/Loft!,140,Entire cabin,35.75617,-83.47504,5,221,4.96
Stunning Views GSMNP/Hot Tub/Near DwTn Gatlinburg,141,Entire cabin,35.7425,-83.48116,8,351,4.94
"Whispering Creek 

Your Perfectly Located Getaway!",141,Entire cabin,35.75819,-83.50947,4,218,4.9
Romantic Gatlinburg Studio Cabin w/ Hot Tub & Deck,142,Entire loft,35.73088,-83.45829,2,77,4.97
'Sky Harbor' Couples' Retreat w/ Hot Tub & Deck!,142,Entire cabin,35.75822,-83.49525,4,84,4.82
"Sanitized-ETERNAL LOVE~Honeymoon,View,HotTub,Games",143,Entire cabin,35.75429,-83.47219,4,244,4.9
"Mountain Freedom ""Private Retreat""",143,Entire cabin,35.74978,-83.47761,2,268,4.93
"🐻 Nice View ⛰  Fireplace, Hot Tub, Porch Bed, Private",144,Entire cabin,35.755432,-83.503502,4,141,4.94
'Bear Mountain Chalet' w/ Hot Tub & Mountain Views,144,Entire cabin,35.75313,-83.48606,6,68,4.91
Panoramic Views GSMNP/Near Downtown Gatlinburg,145,Entire cabin,35.74096,-83.48408,2,383,4.94
"Cozy Cabin, Ski Mtn Area, 5 minutes to Gatlinburg!",145,Entire cabin,35.70263,-83.55076,2,170,4.92
Near Downtown Gatlinburg/Hot Tub/Newly Built Cabin,145,Entire cabin,35.73311,-83.4602,4,99,4.95
Smoky Mountain Memories,145,Entire cabin,35.75451,-83.48865,4,168,4.9
Luxury Gatlinburg cabin/hot-tub/steps to the pool,146,Entire cabin,35.73132,-83.45843,6,74,4.92
Huge Views Of GSMNP/3.6 Miles 2 DwTn Gat/Hot Tub,147,Entire cabin,35.74278,-83.48094,4,345,4.94
Gatlinburg Cabin In The Woods/10 Min 2 Downtown,147,Entire cabin,35.702,-83.54631,7,49,4.98
Waterfront/Hot Tub/.7 Miles 2 DwTn Gatlinburg,148,Entire cabin,35.71599,-83.49973,6,179,4.98
Waterfront/See And Hear Rushing Water/Hot Tub/.9 Miles 2 Downtown Gatlinburg,149,Entire cabin,35.71704,-83.49538,4,273,4.91
★Great Views w/ Sauna/Hot Tub ★ 3 Bed ★ Gatlinburg,149,Entire cabin,35.70827,-83.54884,6,39,4.92
Awesome reviews!☀️Cozy cabin❣️Couples🐻Families  too!,151,Entire cabin,35.75267,-83.47538,4,96,4.97
NAUGHTY PINES,151,Entire cabin,35.76247,-83.52298,2,5,4.2
'Breathtaking View' Cabin w/Covered Deck & Hot Tub,152,Entire cabin,35.73897,-83.47876,4,63,4.86
COZY MOUNTAIN HIDEAWAY,154,Entire home,35.7522,-83.46532,2,6,5
Gatlinburg Falls Resort 2 Story Cabin w/ 1 bedroom,154,Entire cabin,35.73506,-83.49411,6,274,4.84
